Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
trafficFinesMerged_32_65.xes,32.0,65.0,0.9291387706342211,0.8526680901009402,0.995980446478686,0.995980446478686
trafficFinesMerged_32_70.xes,32.0,70.0,0.8361798340746718,0.8541268470861297,0.9959817247220325,0.9959817247220325
trafficFinesMerged_32_75.xes,32.0,75.0,0.9291155832894893,0.8570409866163642,0.9959784222630429,0.9959784222630429
trafficFinesMerged_32_80.xes,32.0,80.0,0.9291115041574866,0.8502780578251755,0.9959804073322426,0.9959804073322426
trafficFinesMerged_32_85.xes,32.0,85.0,0.9291321559222702,0.8658612508003772,0.9959790490403083,0.9959790490403083
trafficFinesMerged_32_90.xes,32.0,90.0,0.9290890195840035,0.846747664436766,0.9959796295426916,0.9959796295426916
trafficFinesMerged_4_10.xes,4.0,10.0,0.9287378035590583,0.861836640664834,0.8989708367981339,0.8989417816770044
trafficFinesMerged_4_15.xes,4.0,15.0,0.9287887367496946,0.866580459199894,0.9566525067922562,0.9566534064728529
trafficFinesMerged_4_20.xes,4.0,20.0,0.9289320496748468,0.8630166829726381,0.9854807109792715,0.9854783675617897
trafficFinesMerged_4_25.xes,4.0,25.0,0.9288788394457287,0.8679080467975279,0.9470559855892156,0.9470561876593238
trafficFinesMerged_4_30.xes,4.0,30.0,0.9287149625908337,0.8665468571125997,0.9470465436309559,0.947047461510258
trafficFinesMerged_4_35.xes,4.0,35.0,0.9288425177524251,0.8654961586938581,0.9758806808820619,0.9758810933457982
trafficFinesMerged_4_40.xes,4.0,40.0,0.9288859088968845,0.8594857407389892,0.9950922776136759,0.9950926869599075
trafficFinesMerged_4_45.xes,4.0,45.0,0.9287560641395436,0.8594806978248277,0.9374392397244202,0.9374397823123433
trafficFinesMerged_4_50.xes,4.0,50.0,0.9288654634017153,0.8630317278863691,0.9566616678431709,0.9566615693022618
trafficFinesMerged_4_55.xes,4.0,55.0,0.9288230946282511,0.8665878129612306,0.9278399223460998,0.9278401283391906
trafficFinesMerged_4_60.xes,4.0,60.0,0.8358592238942879,0.8701472575196785,0.9566487284201971,0.956648772635253
trafficFinesMerged_4_65.xes,4.0,65.0,0.928765088284122,0.8654763889377162,0.965901201804621,0.9659028046322415
trafficFinesMerged_4_70.xes,4.0,70.0,0.928760030840983,0.8654570269985558,0.9470465286352994,0.9470470974434765
trafficFinesMerged_4_75.xes,4.0,75.0,0.8358628937203664,0.8690059866840205,0.9182320552225004,0.9182325084585665
trafficFinesMerged_4_80.xes,4.0,80.0,0.928726685974907,0.86903808453911,0.9374430657515589,0.9374449020213607
trafficFinesMerged_4_85.xes,4.0,85.0,0.9288435295435139,0.8630365840755456,0.9662700225567239,0.9662706677501885
trafficFinesMerged_4_90.xes,4.0,90.0,0.9288219519687406,0.8701430232102169,0.9374372255512842,0.9374393072014447
trafficFinesMerged_512_10.xes,512.0,10.0,0.9248277239521535,0.8425175337655023,0.9959249842689744,0.9959249842689744
trafficFinesMerged_512_15.xes,512.0,15.0,0.7398658316111132,0.8500134852438619,0.9959257813695699,0.9959257813695699
trafficFinesMerged_512_20.xes,512.0,20.0,0.9248266871478481,0.8456628506042426,0.9959276435899973,0.9959276435899973
trafficFinesMerged_512_25.xes,512.0,25.0,0.9248264181462049,0.8448824006458032,0.9959256229217776,0.9959256229217776
trafficFinesMerged_512_30.xes,512.0,30.0,0.9248027932908057,0.8405506508804965,0.9959264446454718,0.9959264446454718
trafficFinesMerged_512_35.xes,512.0,35.0,0.9248741976607775,0.8441172866266801,0.9959259890877858,0.9959259890877858
trafficFinesMerged_512_40.xes,512.0,40.0,0.9248279736399596,0.8405511877201048,0.9959255690440468,0.9959255690440468
trafficFinesMerged_512_45.xes,512.0,45.0,0.9248050030768186,0.8441148955127321,0.9959262170061921,0.9959262170061921
trafficFinesMerged_512_50.xes,512.0,50.0,0.8323944881962808,0.8516146135375913,0.9959259638540943,0.9959259638540943
trafficFinesMerged_512_55.xes,512.0,55.0,0.9248491986252553,0.8511941462121765,0.995926303435866,0.995926303435866
trafficFinesMerged_512_60.xes,512.0,60.0,0.8323247759070143,0.8583303910669475,0.9959259206125284,0.9959259206125284
trafficFinesMerged_512_65.xes,512.0,65.0,0.8323712688083292,0.8523769344645009,0.9959262841695125,0.9959262841695125
trafficFinesMerged_512_70.xes,512.0,70.0,0.9248964852100581,0.845661614147654,0.9959261363126226,0.9959261363126226
trafficFinesMerged_512_75.xes,512.0,75.0,0.9248513140497941,0.8444808671073523,0.9959248243908562,0.9959248243908562
trafficFinesMerged_512_80.xes,512.0,80.0,0.9249434275384754,0.841732062350802,0.9959262742278374,0.9959262742278374
trafficFinesMerged_512_85.xes,512.0,85.0,0.9248748863534679,0.8476264012065924,0.9959259020079021,0.9959259020079021
trafficFinesMerged_512_90.xes,512.0,90.0,0.9248265841789705,0.8539414392350814,0.9959262608828681,0.9959262608828681
trafficFinesMerged_64_10.xes,64.0,10.0,0.9293329709936072,0.858590325232023,0.995587470647771,0.995587470647771
trafficFinesMerged_64_15.xes,64.0,15.0,0.9293040699993469,0.8574802986455647,0.9959753816082278,0.9959753816082278
trafficFinesMerged_64_20.xes,64.0,20.0,0.929404745628131,0.8485968393218659,0.9959753511239822,0.9959753511239822
trafficFinesMerged_64_25.xes,64.0,25.0,0.9292798977770993,0.8520595542641484,0.9959746390831811,0.9959746390831811
trafficFinesMerged_64_30.xes,64.0,30.0,0.7434335766172092,0.8520594745359167,0.9959741987759742,0.9959741987759742
trafficFinesMerged_64_35.xes,64.0,35.0,0.9294094615016124,0.8526203321578322,0.9959746333441737,0.9959746333441737
trafficFinesMerged_64_40.xes,64.0,40.0,0.8363828726502502,0.850575116952386,0.9959724391216589,0.9959724391216589
trafficFinesMerged_64_45.xes,64.0,45.0,0.9293295513957773,0.8496603774379798,0.9959786006201223,0.9959786006201223
trafficFinesMerged_64_50.xes,64.0,50.0,0.9292818112033568,0.8555104963119493,0.9959727146965589,0.9959727146965589
trafficFinesMerged_64_55.xes,64.0,55.0,0.836384191959185,0.857504777346129,0.995973740841832,0.995973740841832
trafficFinesMerged_64_60.xes,64.0,60.0,0.8363323011801324,0.8511484209371172,0.9959745015444824,0.9959745015444824
trafficFinesMerged_64_65.xes,64.0,65.0,0.7434616442062627,0.8555094313166955,0.9959723149040636,0.9959723149040636
trafficFinesMerged_64_70.xes,64.0,70.0,0.9293040628711401,0.8446472330959844,0.9959734280154381,0.9959734280154381
trafficFinesMerged_64_75.xes,64.0,75.0,0.8364113935655716,0.8476876691521641,0.995973733571323,0.995973733571323
trafficFinesMerged_64_80.xes,64.0,80.0,0.9293822036506899,0.840706641694559,0.9959748011800604,0.9959748011800604
trafficFinesMerged_64_85.xes,64.0,85.0,0.9292576546609214,0.856029833844681,0.9959738605603261,0.9959738605603261
trafficFinesMerged_64_90.xes,64.0,90.0,0.929278484837047,0.8500746962173793,0.9959744545955337,0.9959744545955337
trafficFinesMerged_8_10.xes,8.0,10.0,0.8358787963710718,0.8620049003492278,0.9086332883440396,0.9086321070938295
trafficFinesMerged_8_15.xes,8.0,15.0,0.9288593865119479,0.8704819572205104,0.9183176243090697,0.9183157083310522
trafficFinesMerged_8_20.xes,8.0,20.0,0.9288525632595249,0.8633311005864975,0.9278564677044703,0.9278537529375503
trafficFinesMerged_8_25.xes,8.0,25.0,0.9289014039696639,0.8586520690642129,0.908671151774626,0.9086699430144218
trafficFinesMerged_8_30.xes,8.0,30.0,0.9288253642651696,0.8658038429945476,0.9278934141181576,0.9278911888204764
trafficFinesMerged_8_35.xes,8.0,35.0,0.9288355265401183,0.8726917362414044,0.9182619415352592,0.9182583501912225
trafficFinesMerged_8_40.xes,8.0,40.0,0.9288680136473451,0.8740550213329314,0.9182462765713912,0.9182454861526137
trafficFinesMerged_8_45.xes,8.0,45.0,0.9288975909315514,0.8669131906574924,0.9375143183670304,0.9375096853827714
trafficFinesMerged_8_50.xes,8.0,50.0,0.928867404638545,0.8597613182968763,0.9374719686500557,0.9374694607943008
trafficFinesMerged_8_55.xes,8.0,55.0,0.9288339897808522,0.8619668359003804,0.9278567517562093,0.9278559789928356
trafficFinesMerged_8_60.xes,8.0,60.0,0.9288857858234529,0.8633362520170165,0.8990245869648363,0.8990235836136259
trafficFinesMerged_8_65.xes,8.0,65.0,0.9289377172806328,0.8633333853748237,0.9182449104411537,0.9182411940337657
trafficFinesMerged_8_70.xes,8.0,70.0,0.9288051242031952,0.8669183283985126,0.9374723070876823,0.9374655985617288
trafficFinesMerged_8_75.xes,8.0,75.0,0.9288887382791546,0.866924273347262,0.9470801885328562,0.9470791855208451
trafficFinesMerged_8_80.xes,8.0,80.0,0.9288661960706589,0.8633412248850268,0.937473979085642,0.9374714705678823
trafficFinesMerged_8_85.xes,8.0,85.0,0.83600555323699,0.8704913244511501,0.9182805079984309,0.9182795043432985
trafficFinesMerged_8_90.xes,8.0,90.0,0.9287890624523355,0.8693457853615731,0.9374664326545311,0.9374592727561261
