Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
help_desk_4_50.xes,4.0,50.0,0.8757186442907973,0.8474953092902882,0.882468725064418,0.8631127701648271
help_desk_4_55.xes,4.0,55.0,0.8740000662111228,0.89913138196512,0.8676644534974104,0.8594131093759707
help_desk_4_60.xes,4.0,60.0,0.8720294140593735,0.8824474107550007,0.8677186261984694,0.8586321401422335
help_desk_4_65.xes,4.0,65.0,0.8664611214719115,0.8471415451384152,0.8688669420752977,0.8631846826874418
help_desk_4_70.xes,4.0,70.0,0.8677643651712538,0.8647537779107669,0.8677862716672691,0.8615459067291787
help_desk_4_75.xes,4.0,75.0,0.8611423730173824,0.8807622409307994,0.8552650235794361,0.8594485580192256
help_desk_4_80.xes,4.0,80.0,0.8716512765392652,0.8807698698514693,0.8590572639664016,0.8524821570480923
help_desk_4_85.xes,4.0,85.0,0.8618048811385515,0.8816800474805812,0.8558903197721772,0.860263688942538
help_desk_4_90.xes,4.0,90.0,0.8615608328845624,0.8810664188706511,0.8551508029121504,0.8594177423103518
help_desk_512_10.xes,512.0,10.0,0.9357157922425356,0.9156941766781637,0.9948590923961304,1.0
help_desk_512_15.xes,512.0,15.0,0.93599884938684,0.9228024647533845,0.9948590923961304,1.0
help_desk_512_20.xes,512.0,20.0,0.9356982898937526,0.9216712024697147,0.9948590923961304,1.0
help_desk_512_25.xes,512.0,25.0,0.9363243113611597,0.923236105240434,0.9948590923961304,1.0
help_desk_512_30.xes,512.0,30.0,0.9360059168585092,0.9243233360907283,0.9948590923961304,1.0
help_desk_512_35.xes,512.0,35.0,0.9360166843964033,0.916437501212404,0.9948590923961304,1.0
help_desk_512_40.xes,512.0,40.0,0.9360129843301784,0.917944269621955,0.9948590923961304,1.0
help_desk_512_45.xes,512.0,45.0,0.9356982898937526,0.9216712024697147,0.9948590923961304,1.0
help_desk_512_50.xes,512.0,50.0,0.9359422908238899,0.9253787842552994,0.9948590923961304,1.0
